5.074084554211071740e+00,1.942945414061852727e+00
5.111562150375681846e+00,2.006643904571844939e+00
5.004001376298591097e+00,1.934250225741583895e+00
4.881744746430452864e+00,1.915014845834103197e+00
4.916621439554195838e+00,2.016894696575090240e+00
4.894918846045082539e+00,1.927058772189695013e+00
4.939156516750305315e+00,2.035651821013603868e+00
5.027985288134154018e+00,1.951391200931988035e+00
4.939541410478836880e+00,1.974156274333445094e+00
4.897412991270765126e+00,1.991925659888972078e+00
4.705978466015591444e+00,2.034182473915124412e+00
4.786586641760736782e+00,1.958933924546021998e+00
4.156008543942083300e+00,2.155827094839888325e+00
4.345666567407914016e+00,2.178704569680838254e+00
4.253315773304948699e+00,2.092752653063082224e+00
4.434860283238480250e+00,2.180159336414588367e+00
4.385640627476928621e+00,2.064591367404356781e+00
4.513028771559028485e+00,2.069958568643609276e+00
4.528967914341164303e+00,2.047978092257448424e+00
4.549507891322062569e+00,2.098562049202024049e+00
4.635051151746543141e+00,2.149714886559562110e+00
5.135119433282413937e+00,2.100655796891000016e+00
5.217688330352960868e+00,2.086916575319865963e+00
5.368440254752115059e+00,2.235807872940669405e+00
5.280769810829664124e+00,2.179248927060840391e+00
5.337837501441553556e+00,2.270005177294442955e+00
5.798462728900283025e+00,2.105295610050593069e+00
5.791055810318571417e+00,2.275808630382205155e+00
5.285815264338374675e+00,2.304767743056908458e+00
5.320854942371920693e+00,2.392082314668075860e+00
5.265489559259024510e+00,2.291748536781340384e+00
4.271050727910822076e+00,2.334326343221992062e+00
4.324553103289087375e+00,2.254654911470920009e+00
4.101144565994633950e+00,2.306261655905556207e+00
4.139661179915460565e+00,2.247037748699310722e+00
4.125897794876495439e+00,2.331630496358124027e+00
4.032946847986873529e+00,2.305034082805691220e+00
4.055059518714664080e+00,2.317273617445189338e+00
4.121524254880042371e+00,2.250562934758977729e+00
3.996142914356799025e+00,2.307908316056433318e+00
4.017801983836546853e+00,2.301729400178581297e+00
3.882928278131669853e+00,2.383740268672807083e+00
3.318124296317538136e+00,2.552095079152893131e+00
3.809780362180189783e+00,2.450194793209877098e+00
3.642913190457456096e+00,2.439865318726790910e+00
3.781381562462243995e+00,2.532928735364154083e+00
3.653960508886981984e+00,2.403982530370431192e+00
3.643611993731348697e+00,2.493175544573022595e+00
